f	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
8694.00	5.429354	5.628305	9.228403	9.681156	9.365747	9.323104	7.441669	7.695863
8820.00	5.325038	5.541465	9.261709	10.253070	9.492534	9.446098	7.051312	7.293525
8946.00	5.434262	5.825527	9.214645	9.442739	9.614029	9.010273	6.856400	7.057550
9072.00	5.428472	5.840143	8.955079	9.165541	9.578968	9.462088	6.880168	7.013522
9198.00	5.045439	5.310472	8.388346	9.340117	9.296223	9.209644	6.518743	6.844192
9324.00	4.488281	4.826769	7.578735	8.849272	8.789671	8.851544	5.942710	6.164721
9450.00	4.153754	4.413349	6.824699	7.639459	8.260934	8.375940	5.909778	6.086058
9576.00	3.975822	4.265725	6.556783	6.437063	8.052144	8.013154	6.101550	6.367222
9702.00	3.029954	4.070006	6.911721	7.116693	7.731695	9.096109	5.727656	6.006136
9828.00	3.341152	3.736377	7.586235	7.359162	9.049511	9.644313	4.992084	5.170741
9954.00	3.269782	3.652484	8.268524	8.521578	9.509228	10.116692	4.753371	5.050386
10080.00	3.536134	3.646296	8.825678	9.858399	9.643576	10.607747	4.937020	5.338054
10206.00	3.653328	3.827304	9.204961	10.427295	9.363740	9.723234	4.940137	5.121980
10332.00	3.506004	3.852711	9.342724	9.437874	8.791971	9.183359	4.877061	5.058885
10458.00	3.364299	3.759310	9.161909	10.008929	8.214920	8.729242	4.990892	5.399875
10584.00	3.373722	3.694985	8.628094	9.428405	7.958622	8.954125	5.011419	5.268158
10710.00	3.357847	3.601546	7.821511	8.009132	8.064085	8.732188	4.738784	4.981554
10836.00	3.249843	3.542644	7.015146	7.534592	8.227964	8.464802	4.382916	4.665264
10962.00	3.255060	3.683337	6.558727	7.741121	8.121798	8.391368	4.134210	4.345940
11088.00	3.465360	3.734308	6.505708	6.738571	7.590015	7.675717	3.982983	4.337057
11214.00	3.696037	3.910698	6.525362	7.333146	6.679754	6.901007	3.936568	4.196157
11340.00	3.829687	4.214998	6.300834	7.150369	5.700367	6.272604	3.886874	4.055281
11466.00	3.918615	4.287655	5.782623	6.460129	5.171705	5.631341	3.683518	4.009853
11592.00	3.949574	4.391026	5.212829	5.859511	5.334589	5.547269	3.598596	3.888570
11718.00	3.819238	4.001080	4.938866	5.426935	5.847812	5.575286	3.949245	4.135411
11844.00	3.579149	3.850947	5.027050	5.582297	6.292492	6.792600	4.311306	4.525725
11970.00	3.459967	3.830059	5.198539	5.156116	6.502778	6.899833	4.239232	4.635233
12096.00	3.507378	3.810998	5.212330	6.099379	6.485818	6.765443	3.986174	4.281354
12222.00	3.506523	3.731480	5.051929	6.484118	6.297530	7.123672	3.984230	4.063803
12348.00	3.393582	3.648118	4.861395	6.216149	5.953244	6.187451	4.009524	4.185083
12474.00	3.357243	3.706874	4.732242	4.941512	5.427370	5.144979	3.763960	4.139572
12600.00	3.439969	3.804488	4.600243	5.429705	4.718894	4.374404	3.568368	3.808315
12726.00	3.421933	3.732716	4.348784	4.381595	3.956448	4.064633	3.738394	4.090722
12852.00	3.264594	3.715293	3.990894	4.709946	3.445464	3.715923	3.984687	4.313106
12978.00	3.261057	3.675791	3.699531	4.290191	3.431806	4.244001	4.127328	4.472317
13104.00	3.515795	3.873162	3.584863	4.511724	3.770643	4.533847	4.354142	4.651522
13230.00	3.696732	4.047642	3.466805	4.275528	4.074102	4.695615	4.645330	4.953519
13356.00	3.612231	3.969519	2.980436	3.437390	4.057930	4.185361	4.762911	5.164450
13482.00	3.529678	3.836592	1.856761	2.265180	3.630595	3.658558	4.690506	4.959129
13608.00	3.727916	4.092047	0.178808	1.027348	2.888976	3.505964	4.565754	4.812285
13734.00	3.971647	4.321895	-1.047226	-0.280331	2.114708	2.687358	4.413403	4.772289
13860.00	3.925663	4.401416	-0.478977	0.514264	1.641220	1.500363	4.258501	4.653594
