n	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
96	-0.000743	0.001709	-0.001201	0.037089	0.001147	0.023129	-0.000249	-0.001526
97	-0.000444	0.002380	0.001315	0.011187	0.000728	0.009093	0.000208	0.002203
98	0.000269	0.001527	-0.001237	0.016259	-0.000414	0.019301	-0.000236	0.001442
99	0.000799	0.003926	0.001393	0.013948	-0.001120	0.014145	0.000204	0.004180
100	-0.000304	0.003984	-0.001278	0.007668	0.000485	-0.001373	-0.000243	0.004659
101	-0.000659	0.001995	0.001450	0.013115	0.001160	0.012120	0.000195	0.002948
102	-0.000275	0.004116	-0.001302	-0.007223	0.000404	-0.005656	-0.000247	0.006388
103	0.000829	0.006083	0.001480	0.014426	-0.001102	0.010019	0.000179	0.002407
104	0.000249	0.009403	-0.001336	-0.019454	-0.000378	0.006745	-0.000241	0.002659
105	-0.000477	0.010159	0.001491	-0.017317	0.000951	0.012679	0.000161	0.000350
106	-0.000771	0.008013	-0.001307	-0.019412	0.001115	0.009402	-0.000242	0.001473
107	0.000467	0.007471	0.001473	-0.016091	-0.000512	0.006384	0.000174	0.001103
108	0.000562	0.008591	-0.001263	-0.006483	-0.001003	0.021493	-0.000242	-0.000178
109	0.000018	0.008115	0.001440	-0.029957	0.000242	0.016426	0.000171	-0.000259
110	-0.000986	0.009810	-0.001190	-0.013165	0.001320	0.050872	-0.000234	-0.003486
111	-0.000096	0.007494	0.001359	-0.007703	0.000388	0.028654	0.000161	-0.002062
112	0.000520	0.004284	-0.001091	-0.001938	-0.001082	0.043204	-0.000226	-0.000731
113	0.000589	0.000575	0.001249	0.012867	-0.000589	0.046169	0.000164	-0.002653
114	-0.000766	-0.000961	-0.000989	0.010203	0.000904	0.033980	-0.000236	0.001467
115	-0.000542	-0.000840	0.001076	0.032485	0.001195	0.027284	0.000160	-0.000500
116	0.000082	-0.001778	-0.000864	0.009856	-0.000523	0.021605	-0.000231	0.001689
117	0.000945	-0.001074	0.000917	0.029964	-0.001072	0.011075	0.000157	0.003819
118	-0.000226	-0.000492	-0.000708	0.005979	0.000011	-0.006006	-0.000209	-0.000018
119	-0.000649	0.002822	0.000730	0.001230	0.001445	0.002880	0.000150	0.003328
120	-0.000490	0.002116	-0.000522	0.010171	0.000317	-0.024496	-0.000186	-0.000632
121	0.000892	0.003317	0.000536	0.004134	-0.000963	-0.016918	0.000171	-0.001251
122	0.000337	0.005510	-0.000319	0.002943	-0.000976	-0.012428	-0.000168	0.001470
123	-0.000319	0.005442	0.000321	0.014905	0.001016	-0.018559	0.000167	-0.001814
124	-0.000963	0.003237	-0.000137	0.001444	0.000996	-0.007107	-0.000117	0.002123
125	0.000435	0.004335	0.000109	0.002551	-0.000243	-0.007092	0.000148	-0.003120
126	0.000635	0.004192	0.000043	-0.022067	-0.001490	0.009716	-0.000110	0.000831
127	0.000274	0.002425	-0.000133	-0.015121	0.000081	0.011714	0.000146	-0.002932
128	-0.001010	-0.000423	0.000232	-0.010219	0.001135	0.036551	-0.000080	0.002508
129	-0.000139	-0.003593	-0.000346	-0.003140	0.000686	0.032516	0.000126	0.000093
