n	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
317	-0.018747	-0.013056	-0.031235	-0.096734	-0.089632	-0.043103	-0.009362	-0.013363
318	-0.017426	-0.007793	-0.008988	-0.070635	-0.133242	-0.029856	-0.022849	-0.016525
319	-0.021522	-0.015156	-0.042739	-0.004844	-0.065532	-0.054094	-0.017510	-0.023579
320	-0.012045	-0.008686	-0.121775	-0.077774	-0.053747	-0.054870	-0.017145	-0.025518
321	-0.017765	-0.011677	-0.056997	-0.135421	-0.074489	-0.048706	-0.012347	-0.013598
322	-0.014808	-0.020342	-0.040413	-0.067707	-0.081320	-0.071593	-0.009337	-0.019277
323	-0.014531	-0.014076	-0.049956	-0.042164	-0.018268	-0.125894	-0.010259	-0.007016
324	-0.017296	-0.024269	-0.106674	-0.056758	-0.083273	-0.169825	-0.020849	-0.012876
325	-0.010618	-0.026247	-0.143497	-0.087345	-0.065035	-0.109949	-0.022965	-0.020067
326	-0.009356	-0.020243	-0.127364	-0.148391	-0.071318	-0.158966	-0.021613	-0.020490
327	-0.016795	-0.016942	-0.109466	-0.106810	-0.050656	-0.114186	-0.012804	-0.018878
328	-0.011578	-0.018084	-0.089864	-0.103620	-0.117127	-0.107419	-0.008955	-0.007097
329	-0.018093	-0.010445	-0.088113	-0.086834	-0.127860	-0.042530	-0.012946	-0.007296
330	-0.021688	-0.023369	-0.075814	-0.101807	-0.127583	-0.121529	-0.020283	-0.014517
331	-0.012860	-0.009616	-0.037814	-0.075666	-0.123468	-0.128295	-0.018872	-0.019505
332	-0.017564	-0.009752	-0.058164	-0.033735	-0.110427	-0.093405	-0.009532	-0.025435
333	-0.016664	-0.005807	-0.072709	-0.054212	-0.044366	-0.096410	-0.012946	-0.006853
334	-0.012764	-0.009701	-0.064608	-0.088564	-0.055857	-0.121770	-0.002942	-0.017354
335	-0.020241	-0.003784	-0.023866	-0.049745	-0.113315	-0.109089	0.004243	-0.000356
336	-0.017972	0.000589	-0.090075	-0.019013	-0.152104	-0.084590	-0.008694	0.004621
337	-0.011966	-0.003658	-0.093158	-0.067108	-0.104348	-0.034481	-0.014345	-0.010270
338	-0.015104	-0.017947	-0.095347	-0.101019	-0.110998	-0.035534	-0.017772	-0.006812
339	-0.012261	-0.015617	-0.118762	-0.063186	-0.142603	-0.044747	0.000680	-0.018739
340	-0.012121	-0.013826	-0.102343	-0.094008	-0.151091	-0.055834	0.006507	0.009757
341	-0.006009	-0.010840	-0.079634	-0.057166	-0.111779	-0.048964	0.005970	0.009659
342	-0.007982	0.007682	-0.083024	-0.047002	-0.068252	-0.056036	-0.001172	0.011317
343	-0.015732	0.000870	-0.064211	-0.044909	-0.046764	-0.066360	-0.008300	0.007562
344	-0.016381	-0.009274	-0.059898	-0.024890	-0.079366	-0.050412	0.003418	-0.007807
345	-0.011659	-0.003360	-0.069180	-0.023108	-0.084072	-0.003921	0.004469	0.010098
346	-0.009405	-0.003222	-0.069168	-0.037388	-0.074975	0.009897	0.003250	0.001763
347	0.009136	0.006496	-0.045182	-0.041011	-0.069811	0.012813	-0.007850	0.006455
348	0.004267	0.006339	-0.057579	-0.036454	-0.074672	-0.028626	-0.022277	-0.009681
349	-0.005741	0.005890	-0.051863	-0.041096	-0.057443	-0.022207	-0.008488	-0.020748
