0.1	-5.05405973909452
0.2	-7.267906713525
0.3	-8.67925969244416
0.4	-9.81300263466457
0.5	-10.542121050986
0.6	-11.2443128087215
0.7	-11.781394525452
0.8	-12.467898699931
0.9	-13.1408546697204
1	-13.7182767561307
1.1	-14.3356796017573
1.2	-14.9319092986333
1.3	-15.4850766573198
1.4	-16.0856162163769
1.5	-16.5971136313948
1.6	-17.0698284846579
1.7	-17.594088018625
1.8	-18.0721986158659
1.9	-18.5371837639633
2	-19.0319049131039
2.1	-19.5209558679277
2.2	-19.8785786532834
2.3	-20.3236180138608
2.4	-20.6996143049395
2.5	-21.1551065163751
2.6	-21.4431961633917
2.7	-21.7988704541091
2.8	-22.2826371290175
2.9	-22.5361014482013
3	-22.8796266256922
3.1	-23.2910688211603
3.2	-23.6911527688097
3.3	-24.0209501434454
3.4	-24.2339008523768
3.5	-24.5169339407274
3.6	-25.0994185554481
3.7	-25.5186998610376
3.8	-25.8558915954777
3.9	-26.2083059525248
4	-26.625252709311
4.1	-26.7939598055119
4.2	-27.102164385041
4.3	-27.3933720566813
4.4	-27.7346967853271
4.5	-28.1063519896017
4.6	-28.3444568444945
4.7	-28.7664354778163
4.8	-28.9177708204195
4.9	-29.2250598240711
5	-29.5748544963952
5.1	-29.9592910755436
5.2	-30.1692128770784
5.3	-30.5020349987311
5.4	-30.8619039108619
5.5	-31.2748646171289
5.6	-31.4139818272918
5.7	-31.7223630188426
5.8	-31.8581500457904
5.9	-32.190612768196
6	-32.4048870949849
6.1	-32.7335745887066
6.2	-32.8500359870428
6.3	-33.1814038898808
6.4	-33.3601503172446
6.5	-33.7368985990828
6.6	-33.8397562964999
6.7	-34.107460371605
6.8	-34.3244246598567
6.9	-34.5321420432139
7	-34.5719363977661
7.1	-34.7574126268419
7.2	-34.9376215698362
7.3	-35.045133729489
7.4	-35.1917406216157
7.5	-35.4133887809766
7.6	-35.6338495664281
7.7	-35.7096660854843
7.8	-35.8319764751336
7.9	-36.0051995218646
8	-36.1480881219209
8.1	-36.3810074286396
8.2	-36.5734283991071
8.3	-36.6159472337316
8.4	-36.7736156991807
8.5	-36.9925442841768
8.6	-37.1318891583607
8.7	-37.292860035435
8.8	-37.2347991894716
8.9	-37.5317384002693
9	-37.5740212880651
9.1	-37.9292900268069
9.2	-38.0093373162962
9.3	-38.2025496619601
9.4	-38.2495533412077
9.5	-38.3398762636686
9.6	-38.3663269272722
9.7	-38.4202372688565
9.8	-38.4879920908812
9.9	-38.4145881364771
10	-38.7145263269173
10.1	-38.7996331787132
10.2	-38.6829599397549
10.3	-38.9304488089471
10.4	-39.0352292744082
10.5	-39.1706833331199
10.6	-39.0768322890318
10.7	-39.0464846693058
10.8	-39.2137326308916
10.9	-39.0548814573016
11	-39.2253917215367
11.1	-39.4592679485656
11.2	-39.4628179260634
11.3	-39.5545176517863
11.4	-39.6200348175698
11.5	-39.8152699702953
11.6	-39.9365784567097
11.7	-40.0036377518339
11.8	-39.964725478017
11.9	-39.9321960309374
12	-40.1885462838338
12.1	-40.0643013826399
12.2	-40.2251965609079
12.3	-40.2364525167078
12.4	-40.2884385981953
12.5	-40.3120956215834
12.6	-40.1736495504925
12.7	-40.148450150317
12.8	-40.2340783759893
12.9	-40.1475748862159
13	-40.3444638925442
13.1	-40.3589353240361
13.2	-40.2285601781217
13.3	-40.2458531126244
13.4	-40.2266526445573
13.5	-40.1896921292203
13.6	-40.5932737568537
13.7	-40.5885407271566
13.8	-40.7531049918622
13.9	-40.8438955795596
14	-40.6705680063726
14.1	-40.7640713351174
14.2	-40.9369710816803
14.3	-40.9978872222046
14.4	-41.0366209549813
14.5	-41.3161777348536
14.6	-41.0686430810369
14.7	-41.2358006936731
14.8	-41.2619909912874
14.9	-41.0595085231112
15	-40.8273205554471
15.1	-40.7353471062616
15.2	-40.7568392005377
15.3	-40.9403051315823
15.4	-40.29520104294
15.5	-40.3917197124418
15.6	-40.1823500514129
15.7	-40.269253911698
15.8	-40.3897289158178
15.9	-40.2547853916053
16	-40.3577133966655
16.1	-40.544754525565
16.2	-40.4339004644963
16.3	-40.5047912492445
16.4	-40.505924536623
16.5	-40.7476145672947
16.6	-40.6595669021446
16.7	-40.5261232380589
16.8	-40.4012394812027
16.9	-40.3133683734307
17	-40.5551579369729
17.1	-40.3257622104457
17.2	-40.2824892360965
17.3	-40.4517555372313
17.4	-40.2689184534813
17.5	-40.3411306021517
17.6	-40.4780898267695
17.7	-40.4066681404783
17.8	-40.6759717134234
17.9	-40.4986763057738
18	-40.5307474112352
18.1	-40.6256819171132
18.2	-40.4101691458592
18.3	-40.4820762153541
18.4	-40.6749136270357
18.5	-40.6520382886922
18.6	-40.5448098739935
18.7	-40.7967304722337
